******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
convolution_kernel : 0.079355 
convolution_kernel : 0.003429 
convolution_kernel : 0.002104 
convolution_kernel : 0.066997 
convolution_kernel : 0.066540 
convolution_kernel : 0.067674 
convolution_kernel : 0.069068 
convolution_kernel : 0.074795 
convolution_kernel : 0.074492 
convolution_kernel : 0.002963 
convolution_kernel : 0.002790 
convolution_kernel : 0.077648 
convolution_kernel : 0.004014 
convolution_kernel : 0.002790 
convolution_kernel : 0.002447 
convolution_kernel : 0.003377 
convolution_kernel : 0.018621 
convolution_kernel : 0.004405 
convolution_kernel : 0.004088 
convolution_kernel : 0.003888 
convolution_kernel : 0.003055 
convolution_kernel : 0.002559 
convolution_kernel : 0.022524 
convolution_kernel : 0.004015 
convolution_kernel : 0.004634 
convolution_kernel : 0.004007 
convolution_kernel : 0.003925 
convolution_kernel : 0.003832 
convolution_kernel : 0.003199 
convolution_kernel : 0.044266 
convolution_kernel : 0.022314 
convolution_kernel : 0.011757 
convolution_kernel : 0.011624 
convolution_kernel : 0.011352 
convolution_kernel : 0.008390 
convolution_kernel : 0.004258 
convolution_kernel : 0.006541 
convolution_kernel : 0.008676 
convolution_kernel : 0.007938 
convolution_kernel : 0.008280 
convolution_kernel : 0.008247 
convolution_kernel : 0.009433 
convolution_kernel : 0.010427 
convolution_kernel : 0.006800 
convolution_kernel : 0.004858 
convolution_kernel : 0.004668 
convolution_kernel : 0.004395 
convolution_kernel : 0.004145 
convolution_kernel : 0.004066 
convolution_kernel : 0.003533 
convolution_kernel : 0.003518 
convolution_kernel : 0.011318 
convolution_kernel : 0.012740 
convolution_kernel : 0.012862 
convolution_kernel : 0.012816 
convolution_kernel : 0.012869 
convolution_kernel : 0.009104 
convolution_kernel : 0.008739 
convolution_kernel : 0.009083 
convolution_kernel : 0.009274 
convolution_kernel : 0.011264 
convolution_kernel : 0.011187 
convolution_kernel : 0.014067 
convolution_kernel : 0.017501 
convolution_kernel : 0.014609 
convolution_kernel : 0.014258 
convolution_kernel : 0.011979 
convolution_kernel : 0.012157 
convolution_kernel : 0.005378 
convolution_kernel : 0.005043 
convolution_kernel : 0.004619 
convolution_kernel : 0.004703 
convolution_kernel : 0.004376 
convolution_kernel : 0.004227 
convolution_kernel : 0.004214 
convolution_kernel : 0.004264 
convolution_kernel : 0.003996 
convolution_kernel : 0.003742 
convolution_kernel : 0.003891 
convolution_kernel : 0.011685 
convolution_kernel : 0.015321 
convolution_kernel : 0.015020 
convolution_kernel : 0.014971 
convolution_kernel : 0.014518 
convolution_kernel : 0.014443 
convolution_kernel : 0.016562 
convolution_kernel : 0.014544 
convolution_kernel : 0.014362 
convolution_kernel : 0.013354 
convolution_kernel : 0.013363 
convolution_kernel : 0.013239 
convolution_kernel : 0.015185 
convolution_kernel : 0.012509 
convolution_kernel : 0.009341 
convolution_kernel : 0.009168 
convolution_kernel : 0.008658 
convolution_kernel : 0.008317 
convolution_kernel : 0.004941 
convolution_kernel : 0.004480 
convolution_kernel : 0.004116 
convolution_kernel : 0.004348 
convolution_kernel : 0.004982 
convolution_kernel : 0.004805 
convolution_kernel : 0.004674 
convolution_kernel : 0.005079 
convolution_kernel : 0.005048 
convolution_kernel : 0.005167 
convolution_kernel : 0.019802 
convolution_kernel : 0.021512 
convolution_kernel : 0.024493 
convolution_kernel : 0.026100 
convolution_kernel : 0.022213 
convolution_kernel : 0.015207 
convolution_kernel : 0.012158 
convolution_kernel : 0.009115 
convolution_kernel : 0.008733 
convolution_kernel : 0.008049 
convolution_kernel : 0.007910 
convolution_kernel : 0.011420 
convolution_kernel : 0.014607 
convolution_kernel : 0.014509 
convolution_kernel : 0.013695 
convolution_kernel : 0.010781 
convolution_kernel : 0.010539 
convolution_kernel : 0.005222 
convolution_kernel : 0.004825 
convolution_kernel : 0.004485 
convolution_kernel : 0.003987 
convolution_kernel : 0.005640 
convolution_kernel : 0.006486 
convolution_kernel : 0.008202 
convolution_kernel : 0.008424 
convolution_kernel : 0.013363 
convolution_kernel : 0.015965 
convolution_kernel : 0.020415 
convolution_kernel : 0.019545 
convolution_kernel : 0.017516 
convolution_kernel : 0.015726 
convolution_kernel : 0.011453 
convolution_kernel : 0.010596 
convolution_kernel : 0.010633 
convolution_kernel : 0.010156 
convolution_kernel : 0.009357 
convolution_kernel : 0.009393 
convolution_kernel : 0.009589 
convolution_kernel : 0.009469 
convolution_kernel : 0.009815 
convolution_kernel : 0.009827 
convolution_kernel : 0.010388 
convolution_kernel : 0.007974 
convolution_kernel : 0.008000 
convolution_kernel : 0.007362 
convolution_kernel : 0.007367 
convolution_kernel : 0.005111 
convolution_kernel : 0.004716 
convolution_kernel : 0.004090 
convolution_kernel : 0.018404 
convolution_kernel : 0.018393 
convolution_kernel : 0.023347 
convolution_kernel : 0.027978 
convolution_kernel : 0.023210 
convolution_kernel : 0.012758 
convolution_kernel : 0.012535 
convolution_kernel : 0.012162 
convolution_kernel : 0.012099 
convolution_kernel : 0.011309 
convolution_kernel : 0.011845 
convolution_kernel : 0.013442 
convolution_kernel : 0.014305 
convolution_kernel : 0.013674 
convolution_kernel : 0.013768 
convolution_kernel : 0.013515 
convolution_kernel : 0.009486 
convolution_kernel : 0.005436 
convolution_kernel : 0.004786 
convolution_kernel : 0.007264 
convolution_kernel : 0.007887 
convolution_kernel : 0.007916 
convolution_kernel : 0.007717 
convolution_kernel : 0.011555 
convolution_kernel : 0.010870 
convolution_kernel : 0.010587 
convolution_kernel : 0.010543 
convolution_kernel : 0.010367 
convolution_kernel : 0.010289 
convolution_kernel : 0.003874 
convolution_kernel : 0.003731 
convolution_kernel : 0.003943 
convolution_kernel : 0.003654 
convolution_kernel : 0.003814 
convolution_kernel : 0.003925 
convolution_kernel : 0.003775 
convolution_kernel : 0.003874 
convolution_kernel : 0.006367 
convolution_kernel : 0.008506 
convolution_kernel : 0.008286 
convolution_kernel : 0.009197 
convolution_kernel : 0.009261 
convolution_kernel : 0.005953 
convolution_kernel : 0.006221 
convolution_kernel : 0.005373 
convolution_kernel : 0.005305 
convolution_kernel : 0.005078 
convolution_kernel : 0.005087 
convolution_kernel : 0.004867 
convolution_kernel : 0.004221 
convolution_kernel : 0.004258 
convolution_kernel : 0.005003 
convolution_kernel : 0.004939 
convolution_kernel : 0.004961 
convolution_kernel : 0.004224 
convolution_kernel : 0.003658 
convolution_kernel : 0.004095 
convolution_kernel : 0.003931 
convolution_kernel : 0.003775 
convolution_kernel : 0.004606 
convolution_kernel : 0.004491 
convolution_kernel : 0.005408 
convolution_kernel : 0.005140 
convolution_kernel : 0.006427 
convolution_kernel : 0.007155 
convolution_kernel : 0.007883 
convolution_kernel : 0.006701 
convolution_kernel : 0.006610 
convolution_kernel : 0.006425 
convolution_kernel : 0.007204 
convolution_kernel : 0.005978 
convolution_kernel : 0.005672 
convolution_kernel : 0.004578 
convolution_kernel : 0.005798 
convolution_kernel : 0.006960 
convolution_kernel : 0.007184 
convolution_kernel : 0.007250 
convolution_kernel : 0.007166 
convolution_kernel : 0.006541 
convolution_kernel : 0.004815 
convolution_kernel : 0.004252 
convolution_kernel : 0.004168 
convolution_kernel : 0.004092 
convolution_kernel : 0.003303 
convolution_kernel : 0.003132 
convolution_kernel : 0.003031 
convolution_kernel : 0.003862 
convolution_kernel : 0.008101 
convolution_kernel : 0.008440 
convolution_kernel : 0.007411 
convolution_kernel : 0.007330 
convolution_kernel : 0.007121 
convolution_kernel : 0.006590 
convolution_kernel : 0.006440 
convolution_kernel : 0.007123 
convolution_kernel : 0.006140 
convolution_kernel : 0.006375 
convolution_kernel : 0.006207 
convolution_kernel : 0.006277 
convolution_kernel : 0.006537 
convolution_kernel : 0.006636 
convolution_kernel : 0.005347 
convolution_kernel : 0.005083 
convolution_kernel : 0.005168 
convolution_kernel : 0.004547 
convolution_kernel : 0.003499 
convolution_kernel : 0.003248 
convolution_kernel : 0.002915 
convolution_kernel : 0.004522 
convolution_kernel : 0.005537 
convolution_kernel : 0.005487 
convolution_kernel : 0.006405 
convolution_kernel : 0.005232 
convolution_kernel : 0.005404 
convolution_kernel : 0.005383 
convolution_kernel : 0.007551 
convolution_kernel : 0.007903 
convolution_kernel : 0.008803 
convolution_kernel : 0.007944 
convolution_kernel : 0.009027 
convolution_kernel : 0.008905 
convolution_kernel : 0.007478 
convolution_kernel : 0.007435 
convolution_kernel : 0.005099 
convolution_kernel : 0.004743 
convolution_kernel : 0.004534 
convolution_kernel : 0.004472 
convolution_kernel : 0.004354 
convolution_kernel : 0.004238 
convolution_kernel : 0.005784 
convolution_kernel : 0.005648 
convolution_kernel : 0.005566 
convolution_kernel : 0.005588 
convolution_kernel : 0.004567 
convolution_kernel : 0.004399 
convolution_kernel : 0.004199 
convolution_kernel : 0.004329 
convolution_kernel : 0.008517 
convolution_kernel : 0.009753 
convolution_kernel : 0.009929 
convolution_kernel : 0.009862 
convolution_kernel : 0.009904 
convolution_kernel : 0.008977 
convolution_kernel : 0.007753 
convolution_kernel : 0.007774 
convolution_kernel : 0.007761 
convolution_kernel : 0.007548 
convolution_kernel : 0.006872 
convolution_kernel : 0.006804 
convolution_kernel : 0.006701 
convolution_kernel : 0.006442 
convolution_kernel : 0.004909 
convolution_kernel : 0.004930 
convolution_kernel : 0.004753 
convolution_kernel : 0.004576 
convolution_kernel : 0.003007 
convolution_kernel : 0.003114 
convolution_kernel : 0.004189 
convolution_kernel : 0.006033 
convolution_kernel : 0.006065 
convolution_kernel : 0.005952 
convolution_kernel : 0.008769 
convolution_kernel : 0.008765 
convolution_kernel : 0.008720 
convolution_kernel : 0.010859 
convolution_kernel : 0.010556 
convolution_kernel : 0.008229 
convolution_kernel : 0.007815 
convolution_kernel : 0.007756 
convolution_kernel : 0.007528 
convolution_kernel : 0.007908 
convolution_kernel : 0.007488 
convolution_kernel : 0.006420 
convolution_kernel : 0.006422 
convolution_kernel : 0.006260 
convolution_kernel : 0.004920 
convolution_kernel : 0.004620 
convolution_kernel : 0.004499 
convolution_kernel : 0.004651 
convolution_kernel : 0.004748 
convolution_kernel : 0.004665 
convolution_kernel : 0.004613 
convolution_kernel : 0.004494 
convolution_kernel : 0.004527 
convolution_kernel : 0.004747 
convolution_kernel : 0.004742 
convolution_kernel : 0.005819 
convolution_kernel : 0.012424 
convolution_kernel : 0.012441 
convolution_kernel : 0.012596 
convolution_kernel : 0.011460 
convolution_kernel : 0.009692 
convolution_kernel : 0.006590 
convolution_kernel : 0.006236 
convolution_kernel : 0.006365 
convolution_kernel : 0.006697 
convolution_kernel : 0.005082 
convolution_kernel : 0.004983 
convolution_kernel : 0.007783 
convolution_kernel : 0.006766 
convolution_kernel : 0.006461 
convolution_kernel : 0.006332 
convolution_kernel : 0.003600 
convolution_kernel : 0.003493 
convolution_kernel : 0.003327 
convolution_kernel : 0.003028 
convolution_kernel : 0.002740 
convolution_kernel : 0.004153 
convolution_kernel : 0.006160 
convolution_kernel : 0.006053 
convolution_kernel : 0.007499 
convolution_kernel : 0.009302 
convolution_kernel : 0.009197 
convolution_kernel : 0.011675 
convolution_kernel : 0.008686 
convolution_kernel : 0.009777 
convolution_kernel : 0.010303 
convolution_kernel : 0.010392 
convolution_kernel : 0.009032 
convolution_kernel : 0.008625 
convolution_kernel : 0.006408 
convolution_kernel : 0.006049 
convolution_kernel : 0.011476 
convolution_kernel : 0.008626 
convolution_kernel : 0.008949 
convolution_kernel : 0.008847 
convolution_kernel : 0.006809 
convolution_kernel : 0.005874 
convolution_kernel : 0.012061 
convolution_kernel : 0.003046 
convolution_kernel : 0.002173 
convolution_kernel : 0.002223 
convolution_kernel : 0.001643 
convolution_kernel : 0.017849 
convolution_kernel : 0.015916 
convolution_kernel : 0.015722 
convolution_kernel : 0.012365 
